delta_n,delta_pearson,delta_spearman,metric_name,n,outcome,pearson,q_number,spearman
84,-0.07991251077846206,0.011776678676163162,q10_weighted_shape_entropy,85,classification_accuracy,0.7747873955144232,10,0.8490779952902191
84,0.20016004523372716,-0.19667915358914653,q10_weighted_shape_entropy,85,heldout_jepa_loss,0.7948784785515538,10,0.6292358803986711
84,-0.3013598680185319,-0.16064078290511816,q11_cross_subspace_gaussian_mi,85,classification_accuracy,-0.2970296865106161,11,-0.15544654172754863
84,0.4859080005683416,-0.08208970335122001,q11_cross_subspace_gaussian_mi,85,heldout_jepa_loss,0.5518662541277147,11,0.22124291577095956
78,-0.027974447525749353,-0.08078163662970655,q12_absolute_entropy_change,79,classification_accuracy,-0.21639494088861544,12,-0.408980805594049
78,0.08221228293065003,0.09116200255440761,q12_absolute_entropy_change,79,heldout_jepa_loss,0.031943162814241435,12,-0.10352969814995132
78,0.01805617148182926,0.06380826002769212,q13_realized_surprise_locality,79,classification_accuracy,-0.016008958719149462,13,-0.19296921667556946
78,0.11417117930040424,0.16195197207855433,q13_realized_surprise_locality,79,heldout_jepa_loss,0.09754283142718612,13,-0.04836903602726388
84,-0.14186616045629247,-0.008394554275614155,q14_gradient_locality,85,classification_accuracy,0.41888514276668465,14,0.36890092099169924
84,0.5461532567141857,0.04193581046876583,q14_gradient_locality,85,heldout_jepa_loss,0.8343371865781022,14,0.4221223373070158
75,-0.14449884966359522,0.08017243991384768,q15_virtual_interference,76,classification_accuracy,0.4228996475655136,15,0.8658399897882874
75,0.01554664681121683,0.012062588904694166,q15_virtual_interference,76,heldout_jepa_loss,0.21829519740551132,15,0.7501845522898154
72,-0.1669074479011925,-0.1087409260447798,q16_entity_consistency,73,classification_accuracy,0.62937536152843,16,0.6615345463627947
72,0.07442553673911739,0.04132098527236479,q16_entity_consistency,73,heldout_jepa_loss,0.24342975759845595,16,0.09428606688880663
84,0.35398266461659433,0.17535403665960234,q17_mask_transformation_residual,85,classification_accuracy,-0.438857599090257,17,0.060020912761086544
84,-0.853947423272537,0.031122810570011136,q17_mask_transformation_residual,85,heldout_jepa_loss,-0.9828075830653875,17,-0.4186437365643932
84,-0.28919321455539154,-0.007817365380909684,q18_mask_perturbation_concentration,85,classification_accuracy,-0.8820314990601933,18,-0.8985156048080207
84,0.8331821966803946,0.008362863217576188,q18_mask_perturbation_concentration,85,heldout_jepa_loss,-0.5540870507686698,18,-0.6023842094977525
84,0.058483807097008164,0.06033142867805685,q19a_jacobian_effective_rank,85,classification_accuracy,0.5593432928782273,19a,0.5731107897589454
84,0.25882261356581276,0.07018325402450137,q19a_jacobian_effective_rank,85,heldout_jepa_loss,0.9356868966413773,19a,0.6336134453781513
84,-0.0950153246901018,-0.06255380346165142,q19b_jacobian_density_tau_1em3,85,classification_accuracy,0.34096792543544324,19b,0.15559650002019088
84,0.2640189535212594,-0.04074751074194374,q19b_jacobian_density_tau_1em3,85,heldout_jepa_loss,0.8061479114770481,19b,0.48165288865645106
84,-0.04887761255545683,-0.0950235190860835,q1_cross_covariance,85,classification_accuracy,-0.8541040648173107,1,-0.8615277906105748
84,-0.25482745682285374,-0.12250683405892479,q1_cross_covariance,85,heldout_jepa_loss,-0.6313155881007412,1,-0.6631815516904437
84,0.2004736637469565,0.2305008914062787,q20_reconstruction_nmse,85,classification_accuracy,0.7974856095504503,20,0.839511001869004
84,-0.3857118783368526,-0.2826566771286828,q20_reconstruction_nmse,85,heldout_jepa_loss,0.36956920169462987,20,0.5457885479773306
84,-0.04887761255545705,-0.0950235190860835,q2_projector_interaction,85,classification_accuracy,-0.8541040648173107,2,-0.8615277906105748
84,-0.2548274568228579,-0.12250683405892479,q2_projector_interaction,85,heldout_jepa_loss,-0.6313155881007417,2,-0.6631815516904437
84,,,q3_projector_overlap,85,classification_accuracy,,3,
84,,,q3_projector_overlap,85,heldout_jepa_loss,,3,
84,,,q4_partition_incompleteness,85,classification_accuracy,,4,
84,,,q4_partition_incompleteness,85,heldout_jepa_loss,,4,
78,0.26860628136631215,-0.023613482947809943,q5_subspace_similarity,79,classification_accuracy,0.3486964563361217,5,0.6581135222848256
78,-0.5593738086994449,-0.12940224332629396,q5_subspace_similarity,79,heldout_jepa_loss,-0.056122380522832284,5,0.34352482960077896
78,-0.20872423696740963,0.022854613651147604,q6_subspace_distance,79,classification_accuracy,-0.4772457009789571,6,-0.6581135222848256
78,0.438823866813649,0.15671670102049848,q6_subspace_distance,79,heldout_jepa_loss,-0.03967098085079237,6,-0.34352482960077896
84,0.2733746424768704,0.06028079807325823,q7_cross_jacobian_energy,85,classification_accuracy,0.5257156125226038,7,0.5659770765848012
84,-0.7291363107069619,-0.14362660726941381,q7_cross_jacobian_energy,85,heldout_jepa_loss,0.3351300290798192,7,0.28590971272229826
75,0.028000660975966513,0.13494864109722185,q8_virtual_sensitivity_magnitude,76,classification_accuracy,0.4464789480854108,8,0.3852127323471094
75,0.0008517247081581315,0.10705547652916074,q8_virtual_sensitivity_magnitude,76,heldout_jepa_loss,0.08928797921520336,8,0.12087491455912508
78,-0.20872423696740958,0.022854613651147604,q9_subspace_velocity,79,classification_accuracy,-0.4772457009789571,9,-0.6581135222848256
78,0.4388238668136491,0.15671670102049848,q9_subspace_velocity,79,heldout_jepa_loss,-0.039670980850792334,9,-0.34352482960077896
