run_id,observation_id,epoch,global_step,q_number,metric_name,q_value,null_reason,classification_accuracy,balanced_accuracy,heldout_jepa_loss,curriculum
uniform_live_quality_seed7111473167050986645,live_epoch_0001,1,125,10,q10_weighted_shape_entropy,,degenerate_partition,0.4195,0.4195,0.0011213373318314551,uniform
uniform_live_quality_seed7111473167050986645,live_epoch_0002,2,250,10,q10_weighted_shape_entropy,,degenerate_partition,0.392,0.39199999999999996,0.0002901921896263957,uniform
uniform_live_quality_seed7111473167050986645,live_epoch_0003,3,375,10,q10_weighted_shape_entropy,-1.2989087113830307,,0.3995,0.39949999999999997,0.00012927067186683415,uniform
uniform_live_quality_seed7111473167050986645,live_epoch_0004,4,500,10,q10_weighted_shape_entropy,-1.2075870085868987,,0.4135,0.4135,0.00017340463353320956,uniform
uniform_live_quality_seed7111473167050986645,live_epoch_0005,5,625,10,q10_weighted_shape_entropy,-1.151508575861298,,0.414,0.414,7.838597777299583e-05,uniform
uniform_live_quality_seed7111473167050986645,live_epoch_0006,6,750,10,q10_weighted_shape_entropy,-1.138631221989609,,0.4175,0.4175,0.00013151315180584788,uniform
uniform_live_quality_seed7111473167050986645,live_epoch_0007,7,875,10,q10_weighted_shape_entropy,-1.0793200216800918,,0.4205,0.4205,6.605390808545053e-05,uniform
uniform_live_quality_seed7111473167050986645,live_epoch_0008,8,1000,10,q10_weighted_shape_entropy,-1.061143141038855,,0.431,0.43099999999999994,6.425896589644253e-05,uniform
uniform_live_quality_seed7111473167050986645,live_epoch_0009,9,1125,10,q10_weighted_shape_entropy,-1.0153159178128313,,0.4315,0.43149999999999994,6.084494199603796e-05,uniform
uniform_live_quality_seed7111473167050986645,live_epoch_0010,10,1250,10,q10_weighted_shape_entropy,-1.023156655134955,,0.428,0.428,5.844392580911517e-05,uniform
uniform_live_quality_seed7111473167050986645,live_epoch_0011,11,1375,10,q10_weighted_shape_entropy,-1.0138780091992121,,0.426,0.426,5.508617148734629e-05,uniform
uniform_live_quality_seed7111473167050986645,live_epoch_0012,12,1500,10,q10_weighted_shape_entropy,-1.035684745811175,,0.4355,0.43549999999999994,5.390474852174521e-05,uniform
uniform_live_quality_seed7111473167050986645,live_epoch_0013,13,1625,10,q10_weighted_shape_entropy,-1.01508761819225,,0.4365,0.43649999999999994,5.2589790197089315e-05,uniform
uniform_live_quality_seed7111473167050986645,live_epoch_0014,14,1750,10,q10_weighted_shape_entropy,-1.0244233896217971,,0.435,0.435,5.4997465573251245e-05,uniform
uniform_live_quality_seed7111473167050986645,live_epoch_0015,15,1875,10,q10_weighted_shape_entropy,-1.0531295085236638,,0.436,0.436,5.163274868391454e-05,uniform
uniform_live_quality_seed7111473167050986645,live_epoch_0016,16,2000,10,q10_weighted_shape_entropy,-1.0669625683651833,,0.4345,0.43449999999999994,5.3632036782801154e-05,uniform
uniform_live_quality_seed7111473167050986645,live_epoch_0017,17,2125,10,q10_weighted_shape_entropy,-1.0350308496881622,,0.431,0.431,5.503734084777534e-05,uniform
uniform_live_quality_seed7111473167050986645,live_epoch_0018,18,2250,10,q10_weighted_shape_entropy,-1.0479533638237861,,0.435,0.43499999999999994,5.960970651358366e-05,uniform
